start_time,end_time,type
0,2.0,pause
2.0,2.5,FussBewegen
2.5,4.5,pause
4.5,5.0,ZungeGegenGaumen
5.0,7.0,pause
7.0,7.5,ZungeGegenGaumen
7.5,9.5,pause
9.5,10.0,ZaehneBeissen
10.0,12.0,pause
12.0,12.5,LuftAnhalten
12.5,14.5,pause
14.5,15.0,FussBewegen
15.0,17.0,pause
17.0,17.5,FussBewegen
17.5,19.5,pause
19.5,20.0,FussBewegen
20.0,22.0,pause
22.0,22.5,NaseRuempfen
22.5,24.5,pause
24.5,25.0,ZaehneBeissen
25.0,27.0,pause
27.0,27.5,LuftAnhalten
27.5,29.5,pause
29.5,30.0,ZaehneBeissen
30.0,32.0,pause
32.0,32.5,NaseRuempfen
32.5,34.5,pause
34.5,35.0,ZungeGegenGaumen
35.0,37.0,pause
37.0,37.5,LuftAnhalten
37.5,39.5,pause
39.5,40.0,Schlucken
40.0,42.0,pause
42.0,42.5,ZaehneBeissen
42.5,44.5,pause
44.5,45.0,ZaehneBeissen
45.0,47.0,pause
47.0,47.5,LuftAnhalten
47.5,49.5,pause
49.5,50.0,LuftAnhalten
50.0,52.0,pause
52.0,52.5,NaseRuempfen
52.5,54.5,pause
54.5,55.0,ZungeGegenGaumen
55.0,57.0,pause
57.0,57.5,Schlucken
57.5,59.5,pause
59.5,60.0,Schlucken
60.0,62.0,pause
62.0,62.5,ZungeGegenGaumen
62.5,64.5,pause
64.5,65.0,ZaehneBeissen
65.0,67.0,pause
67.0,67.5,LuftAnhalten
67.5,69.5,pause
69.5,70.0,LuftAnhalten
70.0,72.0,pause
72.0,72.5,LuftAnhalten
72.5,74.5,pause
74.5,75.0,ZungeGegenGaumen
75.0,77.0,pause
77.0,77.5,FussBewegen
77.5,79.5,pause
79.5,80.0,ZaehneBeissen
80.0,82.0,pause
82.0,82.5,Schlucken
82.5,84.5,pause
84.5,85.0,LuftAnhalten
85.0,87.0,pause
87.0,87.5,ZaehneBeissen
87.5,89.5,pause
89.5,90.0,ZungeGegenGaumen
90.0,92.0,pause
92.0,92.5,NaseRuempfen
92.5,94.5,pause
94.5,95.0,LuftAnhalten
95.0,97.0,pause
97.0,97.5,Schlucken
97.5,99.5,pause
99.5,100.0,ZungeGegenGaumen
100.0,102.0,pause
102.0,102.5,ZungeGegenGaumen
102.5,104.5,pause
104.5,105.0,ZungeGegenGaumen
105.0,107.0,pause
107.0,107.5,ZungeGegenGaumen
107.5,109.5,pause
109.5,110.0,ZaehneBeissen
110.0,112.0,pause
112.0,112.5,ZungeGegenGaumen
112.5,114.5,pause
114.5,115.0,NaseRuempfen
115.0,117.0,pause
117.0,117.5,Schlucken
117.5,119.5,pause
119.5,120.0,FussBewegen
120.0,122.0,pause
122.0,122.5,ZungeGegenGaumen
122.5,124.5,pause
124.5,125.0,Schlucken
125.0,127.0,pause
127.0,127.5,ZungeGegenGaumen
127.5,129.5,pause
129.5,130.0,NaseRuempfen
130.0,132.0,pause
132.0,132.5,ZaehneBeissen
132.5,134.5,pause
134.5,135.0,FussBewegen
135.0,137.0,pause
137.0,137.5,ZaehneBeissen
137.5,139.5,pause
139.5,140.0,LuftAnhalten
140.0,142.0,pause
142.0,142.5,FussBewegen
142.5,144.5,pause
144.5,145.0,Schlucken
145.0,147.0,pause
147.0,147.5,ZaehneBeissen
147.5,149.5,pause
149.5,150.0,ZaehneBeissen
150.0,152.0,pause
152.0,152.5,FussBewegen
152.5,154.5,pause
154.5,155.0,NaseRuempfen
155.0,157.0,pause
157.0,157.5,Schlucken
157.5,159.5,pause
159.5,160.0,Schlucken
160.0,162.0,pause
162.0,162.5,LuftAnhalten
162.5,164.5,pause
164.5,165.0,LuftAnhalten
165.0,167.0,pause
167.0,167.5,NaseRuempfen
167.5,169.5,pause
169.5,170.0,LuftAnhalten
170.0,172.0,pause
172.0,172.5,FussBewegen
172.5,174.5,pause
174.5,175.0,ZaehneBeissen
175.0,177.0,pause
177.0,177.5,ZaehneBeissen
177.5,179.5,pause
179.5,180.0,Schlucken
