start_time,end_time,type
0,2.0,pause
2.0,2.5,LuftAnhalten
2.5,4.5,pause
4.5,5.0,ZungeGegenGaumen
5.0,7.0,pause
7.0,7.5,ZaehneBeissen
7.5,9.5,pause
9.5,10.0,ZungeGegenGaumen
10.0,12.0,pause
12.0,12.5,ZaehneBeissen
12.5,14.5,pause
14.5,15.0,FussBewegen
15.0,17.0,pause
17.0,17.5,Schlucken
17.5,19.5,pause
19.5,20.0,FussBewegen
20.0,22.0,pause
22.0,22.5,NaseRuempfen
22.5,24.5,pause
24.5,25.0,LuftAnhalten
25.0,27.0,pause
27.0,27.5,FussBewegen
27.5,29.5,pause
29.5,30.0,NaseRuempfen
30.0,32.0,pause
32.0,32.5,ZungeGegenGaumen
32.5,34.5,pause
34.5,35.0,ZungeGegenGaumen
35.0,37.0,pause
37.0,37.5,NaseRuempfen
37.5,39.5,pause
39.5,40.0,LuftAnhalten
40.0,42.0,pause
42.0,42.5,ZaehneBeissen
42.5,44.5,pause
44.5,45.0,FussBewegen
45.0,47.0,pause
47.0,47.5,NaseRuempfen
47.5,49.5,pause
49.5,50.0,NaseRuempfen
50.0,52.0,pause
52.0,52.5,FussBewegen
52.5,54.5,pause
54.5,55.0,NaseRuempfen
55.0,57.0,pause
57.0,57.5,NaseRuempfen
57.5,59.5,pause
59.5,60.0,NaseRuempfen
60.0,62.0,pause
62.0,62.5,NaseRuempfen
62.5,64.5,pause
64.5,65.0,ZaehneBeissen
65.0,67.0,pause
67.0,67.5,LuftAnhalten
67.5,69.5,pause
69.5,70.0,Schlucken
70.0,72.0,pause
72.0,72.5,LuftAnhalten
72.5,74.5,pause
74.5,75.0,LuftAnhalten
75.0,77.0,pause
77.0,77.5,ZaehneBeissen
77.5,79.5,pause
79.5,80.0,FussBewegen
80.0,82.0,pause
82.0,82.5,FussBewegen
82.5,84.5,pause
84.5,85.0,Schlucken
85.0,87.0,pause
87.0,87.5,Schlucken
87.5,89.5,pause
89.5,90.0,FussBewegen
90.0,92.0,pause
92.0,92.5,ZungeGegenGaumen
92.5,94.5,pause
94.5,95.0,LuftAnhalten
95.0,97.0,pause
97.0,97.5,Schlucken
97.5,99.5,pause
99.5,100.0,FussBewegen
100.0,102.0,pause
102.0,102.5,LuftAnhalten
102.5,104.5,pause
104.5,105.0,ZaehneBeissen
105.0,107.0,pause
107.0,107.5,LuftAnhalten
107.5,109.5,pause
109.5,110.0,ZaehneBeissen
110.0,112.0,pause
112.0,112.5,NaseRuempfen
112.5,114.5,pause
114.5,115.0,NaseRuempfen
115.0,117.0,pause
117.0,117.5,NaseRuempfen
117.5,119.5,pause
119.5,120.0,ZungeGegenGaumen
120.0,122.0,pause
122.0,122.5,Schlucken
122.5,124.5,pause
124.5,125.0,ZungeGegenGaumen
125.0,127.0,pause
127.0,127.5,Schlucken
127.5,129.5,pause
129.5,130.0,Schlucken
130.0,132.0,pause
132.0,132.5,ZaehneBeissen
132.5,134.5,pause
134.5,135.0,ZaehneBeissen
135.0,137.0,pause
137.0,137.5,ZaehneBeissen
137.5,139.5,pause
139.5,140.0,FussBewegen
140.0,142.0,pause
142.0,142.5,LuftAnhalten
142.5,144.5,pause
144.5,145.0,ZaehneBeissen
145.0,147.0,pause
147.0,147.5,ZungeGegenGaumen
147.5,149.5,pause
149.5,150.0,Schlucken
150.0,152.0,pause
152.0,152.5,ZaehneBeissen
152.5,154.5,pause
154.5,155.0,NaseRuempfen
155.0,157.0,pause
157.0,157.5,ZaehneBeissen
157.5,159.5,pause
159.5,160.0,Schlucken
160.0,162.0,pause
162.0,162.5,FussBewegen
162.5,164.5,pause
164.5,165.0,ZaehneBeissen
165.0,167.0,pause
167.0,167.5,FussBewegen
167.5,169.5,pause
169.5,170.0,ZaehneBeissen
170.0,172.0,pause
172.0,172.5,LuftAnhalten
172.5,174.5,pause
174.5,175.0,NaseRuempfen
175.0,177.0,pause
177.0,177.5,NaseRuempfen
177.5,179.5,pause
179.5,180.0,ZaehneBeissen
180.0,182.0,pause
182.0,182.5,LuftAnhalten
182.5,184.5,pause
184.5,185.0,LuftAnhalten
185.0,187.0,pause
187.0,187.5,FussBewegen
187.5,189.5,pause
189.5,190.0,LuftAnhalten
190.0,192.0,pause
192.0,192.5,FussBewegen
192.5,194.5,pause
194.5,195.0,ZaehneBeissen
195.0,197.0,pause
197.0,197.5,ZaehneBeissen
197.5,199.5,pause
199.5,200.0,LuftAnhalten
200.0,202.0,pause
202.0,202.5,ZungeGegenGaumen
202.5,204.5,pause
204.5,205.0,ZaehneBeissen
205.0,207.0,pause
207.0,207.5,LuftAnhalten
207.5,209.5,pause
209.5,210.0,LuftAnhalten
210.0,212.0,pause
212.0,212.5,Schlucken
212.5,214.5,pause
214.5,215.0,ZaehneBeissen
215.0,217.0,pause
217.0,217.5,FussBewegen
217.5,219.5,pause
219.5,220.0,ZungeGegenGaumen
220.0,222.0,pause
222.0,222.5,Schlucken
222.5,224.5,pause
224.5,225.0,NaseRuempfen
225.0,227.0,pause
227.0,227.5,Schlucken
227.5,229.5,pause
229.5,230.0,ZaehneBeissen
230.0,232.0,pause
232.0,232.5,FussBewegen
232.5,234.5,pause
234.5,235.0,ZaehneBeissen
235.0,237.0,pause
237.0,237.5,FussBewegen
237.5,239.5,pause
239.5,240.0,ZaehneBeissen
240.0,242.0,pause
242.0,242.5,ZungeGegenGaumen
242.5,244.5,pause
244.5,245.0,LuftAnhalten
245.0,247.0,pause
247.0,247.5,LuftAnhalten
247.5,249.5,pause
249.5,250.0,FussBewegen
250.0,252.0,pause
252.0,252.5,ZungeGegenGaumen
252.5,254.5,pause
254.5,255.0,LuftAnhalten
255.0,257.0,pause
257.0,257.5,ZaehneBeissen
257.5,259.5,pause
259.5,260.0,ZungeGegenGaumen
260.0,262.0,pause
262.0,262.5,ZungeGegenGaumen
262.5,264.5,pause
264.5,265.0,FussBewegen
265.0,267.0,pause
267.0,267.5,LuftAnhalten
267.5,269.5,pause
269.5,270.0,LuftAnhalten
270.0,272.0,pause
272.0,272.5,FussBewegen
272.5,274.5,pause
274.5,275.0,FussBewegen
275.0,277.0,pause
277.0,277.5,FussBewegen
277.5,279.5,pause
279.5,280.0,FussBewegen
280.0,282.0,pause
282.0,282.5,FussBewegen
282.5,284.5,pause
284.5,285.0,ZaehneBeissen
285.0,287.0,pause
287.0,287.5,ZaehneBeissen
287.5,289.5,pause
289.5,290.0,ZaehneBeissen
290.0,292.0,pause
292.0,292.5,LuftAnhalten
292.5,294.5,pause
294.5,295.0,ZungeGegenGaumen
295.0,297.0,pause
297.0,297.5,Schlucken
297.5,299.5,pause
299.5,300.0,NaseRuempfen
