start_time,end_time,type
0,3.0000000000000013,pause
3.0000000000000013,5.000000000000002,Schlucken
5.000000000000002,8.000000000000004,pause
8.000000000000004,10.000000000000004,Schlucken
10.000000000000004,13.000000000000005,pause
13.000000000000005,15.000000000000005,Schlucken
15.000000000000005,18.000000000000007,pause
18.000000000000007,20.000000000000007,FussBewegen
20.000000000000007,23.000000000000007,pause
23.000000000000007,25.000000000000007,NaseRuempfen
25.000000000000007,28.000000000000007,pause
28.000000000000007,30.000000000000007,Schlucken
30.000000000000007,33.00000000000001,pause
33.00000000000001,35.00000000000001,Schlucken
35.00000000000001,38.00000000000001,pause
38.00000000000001,40.00000000000001,Entspannen
40.00000000000001,43.00000000000001,pause
43.00000000000001,45.00000000000001,FussBewegen
45.00000000000001,48.00000000000001,pause
48.00000000000001,50.00000000000001,Entspannen
50.00000000000001,53.00000000000001,pause
53.00000000000001,55.00000000000001,NaseRuempfen
55.00000000000001,58.00000000000001,pause
58.00000000000001,60.00000000000001,FussBewegen
60.00000000000001,75.0,pause_between_trials
75.0,78.0,pause
78.0,80.0,NaseRuempfen
80.0,83.0,pause
83.0,85.0,Blinzeln
85.0,88.0,pause
88.0,90.0,FussBewegen
90.0,93.0,pause
93.0,95.0,NaseRuempfen
95.0,98.0,pause
98.0,100.0,FussBewegen
100.0,103.0,pause
103.0,105.0,LuftAnhalten
105.0,108.0,pause
108.0,110.0,Entspannen
110.0,113.0,pause
113.0,115.0,LuftAnhalten
115.0,118.0,pause
118.0,120.0,NaseRuempfen
120.0,123.0,pause
123.0,125.0,Blinzeln
125.0,128.0,pause
128.0,130.0,LuftAnhalten
130.0,133.0,pause
133.0,135.0,FussBewegen
135.0,150.0,pause_between_trials
150.0,153.0,pause
153.0,155.0,NaseRuempfen
155.0,158.0,pause
158.0,160.0,FussBewegen
160.0,163.0,pause
163.0,165.0,Entspannen
165.0,168.0,pause
168.0,170.0,Blinzeln
170.0,173.0,pause
173.0,175.0,Entspannen
175.0,178.0,pause
178.0,180.0,Blinzeln
180.0,183.0,pause
183.0,185.0,Entspannen
185.0,188.0,pause
188.0,190.0,Blinzeln
190.0,193.0,pause
193.0,195.0,Entspannen
195.0,198.0,pause
198.0,200.0,Blinzeln
200.0,203.0,pause
203.0,205.0,FussBewegen
205.0,208.0,pause
208.0,210.0,LuftAnhalten
210.0,225.0,pause_between_trials
225.0,228.0,pause
228.0,230.0,Schlucken
230.0,233.0,pause
233.0,235.0,Blinzeln
235.0,238.0,pause
238.0,240.0,Blinzeln
240.0,243.0,pause
243.0,245.0,LuftAnhalten
245.0,248.0,pause
248.0,250.0,FussBewegen
250.0,253.0,pause
253.0,255.0,Schlucken
255.0,258.0,pause
258.0,260.0,LuftAnhalten
260.0,263.0,pause
263.0,265.0,Schlucken
265.0,268.0,pause
268.0,270.0,FussBewegen
270.0,273.0,pause
273.0,275.0,LuftAnhalten
275.0,278.0,pause
278.0,280.0,LuftAnhalten
280.0,283.0,pause
283.0,285.0,NaseRuempfen
285.0,300.0,pause_between_trials
300.0,303.0,pause
303.0,305.0,LuftAnhalten
305.0,308.0,pause
308.0,310.0,LuftAnhalten
310.0,313.0,pause
313.0,315.0,NaseRuempfen
315.0,318.0,pause
318.0,320.0,Entspannen
320.0,323.0,pause
323.0,325.0,NaseRuempfen
325.0,328.0,pause
328.0,330.0,Entspannen
330.0,333.0,pause
333.0,335.0,NaseRuempfen
335.0,338.0,pause
338.0,340.0,Schlucken
340.0,343.0,pause
343.0,345.0,Schlucken
345.0,348.0,pause
348.0,350.0,Blinzeln
350.0,353.0,pause
353.0,355.0,LuftAnhalten
355.0,358.0,pause
358.0,360.0,Schlucken
